Date,Module,Updates,Status,,,,,,
"Dec 27th,2025",User,"Add  staff DOB, address, additional phone number, date of joining, blood group, other person details, etc",Completed,,,,,,
,Items Management,"Remove Variant option in item group,tax inclusive, exclusive,mrp",Completed,,,,,,
,,Add tax creation option,Completed,,,,,,
,,Margin profit move into purchase price section,Completed,,,,,,
,Customer,"add  option for more contacts person - name, num, mail id department",Completed,,,,,,
,,"sundry debtors ( it will reflect in p & l , balance sheet)",,,,,,,
,,"register type ( registered,  unregistered, consumer, sez , etc",Completed,,,,,,
,,"customer pan , vendor code, opening balance ( it may be outstanding or advance)",Completed,,,,,,
,Quotation,"terms & condition, quotation copy option",Completed,,,,,,
,,Remove tax information,Completed,,,,,,
,Enquiry,"In Create Enquiry, show Customer Name instead of Company Name",Completed,,,,,,
,,if customer not in dropdown change as text box,,,,,,,
Jan 7th,payroll/employees/new,1,Completed,,,,,,
,customer creation,"bill wise opening balance (date, invoice date, invoice number,amount, details, advance date, voucher number, received, amount)",Completed,,,,,,
,enquiry,1,Completed,,,,,,
Jan 9th,Quotaion,"Margin workut excel unlimited rows, columns",Completed,,,,,,
,,Item image in quotation,,,,,,,
,,(+) add image in quotation,,,,,,,
,,Item code need separete column,,,,,,,
,,Copy quotation,Completed,,,,,,
,,"Remarks separately, terms & condition separately needed",Completed,,,,,,
Jan 20,Quotation,Add Quotation type (item or project),,,,,,,
,,Remove Place of Supply,,,,,,,
,,Add item code column in items section,,,,,,,
,,Item image in quotation,,,,,,,
,,Item section change based on Quotation type,,,,,,,
,Sales Invoice,"add item code, hsn in item section",,,,,,,
,,"Subtotal,tax,grand total,charges show in report",,,,,,,
,,Items wise filter in report,,,,,,,
,,add voucher type (sales or service ),,,,,,,
,,Round off change as editable,,,,,,,
,,Add Bank  details,,,,,,,
,Sales Order,add item code,,,,,,,
,,"remove other charges,discount and Add  freight charges and p & f charges",,,,,,,
,,Add other fields section,,,,,,,
,,Round off change as editable,,,,,,,
,Proforma Invoice,"Bank name,branch,IFSC,A/C No code show only in pdf",,,,,,,
,,Add Item code in Items section,,,,,,,
,,"Remove other charges,discount and Add  freight charges and p & f charges",,,,,,,
,,Add other fields section,,,,,,,
,,Round off change as editable,,,,,,,
,Sales dashboard,"Weekly,daily,Monthly Reports",,,,,,,
,Sales returns List,Convert from sales invoice,,,,,,,
,Accounts (Will be started from next Week),,,,,,,,
,Enquiry,if customer not in dropdown change as text box,,,,,,,
,,Items image not showing,,,,,,,
